,Keyword,Score,Acc.,Bias
38,woman,0.547,0.8880597014925373,M
76,photo,0.4844,0.9047619047619048,S
70,bun,0.4844,0.7777777777777778,S
50,women,0.4531,0.803680981595092,S
5,film,0.4531,0.9523809523809523,S
78,undated,0.4531,0.875,M
45,politician,0.4219,0.8489795918367347,S
73,judge,0.4219,0.7446808510638298,S
20,actress,0.4062,0.9332669322709163,S
62,hair color,0.4062,0.8903225806451613,S
35,tennis,0.3906,0.8342541436464088,S
25,tennis player,0.375,0.8284023668639053,S
49,native,0.3594,0.9152542372881356,S
65,undated file photo,0.3438,0.7777777777777778,S
80,gold,0.3281,0.7653061224489796,S
42,file photo,0.3281,0.775609756097561,S
58,crowned person,0.3281,0.6666666666666666,S
79,fashion,0.3281,0.95,S
79,pop artist,0.3125,0.8414634146341463,S
72,series,0.2969,0.8333333333333334,S
18,girl,0.2969,0.8513513513513513,M
30,promotional portrait,0.2812,0.8048780487804879,S
73,thriller,0.2812,0.9428571428571428,S
29,romantic,0.2656,0.9690265486725663,S
66,hat,0.2656,0.42857142857142855,S
10,love,0.25,0.9107142857142857,S
15,named person,0.25,0.84251968503937,S
60,bob,0.2344,0.875,S
77,hairstyles,0.2344,0.864406779661017,S
9,portrait,0.2344,0.813953488372093,M
13,found,0.2344,0.825,S
5,hair,0.2344,0.8931116389548693,S
7,model,0.2188,0.9295302013422819,S
63,girl,0.2031,0.9054054054054054,M
67,rock,0.1875,0.9,S
82,coach,0.1875,0.8347107438016529,S
58,teacher,0.1875,0.625,S
48,long,0.1719,0.8539325842696629,M
71,head,0.1719,0.7777777777777778,S
81,beauty,0.1719,0.9442970822281167,S
77,color,0.1562,0.9466666666666667,S
70,team,0.1562,0.9015151515151515,S
50,makeup,0.1406,0.84375,S
29,undated,0.1406,0.819078947368421,M
74,person to win,0.1406,0.5833333333333334,S
19,arrives,0.1406,0.9025032938076416,M
59,hairstyle,0.125,0.8719211822660099,S
22,promotional,0.125,0.8048780487804879,S
32,died,0.125,0.8365384615384616,S
55,condition,0.125,0.9081632653061225,M
23,style,0.1094,0.9354838709677419,S
49,win,0.09375,0.7764705882352941,S
