,Keyword,Score,Acc.,Bias
13,bamboo forest,4.17,0.0,S
20,ocean,3.312,0.625,S
9,bamboo,3.156,0.0,S
4,beach,2.64,0.7432432432432432,S
19,surfer,2.594,0.6666666666666666,S
9,seagull,2.547,0.5,S
6,forest,2.234,0.1111111111111111,S
7,rainforest,2.047,0.2,S
18,woods,2.031,0.5,S
14,trees,1.781,0.3333333333333333,S
5,tree,1.5625,0.5909090909090909,S
16,bird of paradise,1.5,0.5,S
8,garden,1.5,0.0,S
20,bird feeder,1.4375,0.0,S
5,water,1.3125,0.6410256410256411,S
23,lake,1.141,0.8333333333333334,S
16,sunset,1.094,0.6923076923076923,S
17,fish,0.9688,0.6923076923076923,S
21,sky,0.5156,0.7857142857142857,S
11,paradise,0.5156,0.90625,S
17,trail,0.5,0.3333333333333333,S
12,city,0.3594,0.6923076923076923,S
14,dog,0.2656,0.42857142857142855,S
8,biological species flying,0.1719,0.0,S
12,wild,0.1562,0.8235294117647058,S
10,prey,0.04688,0.8421052631578947,S
15,bird of prey,0.04688,0.8421052631578947,S
24,flying,-0.0625,0.7692307692307693,
6,person,-0.125,0.8,
0,biological species,-0.1406,0.753731343283582,
2,species,-0.1875,0.753731343283582,
24,digital,-0.2188,0.0,
3,bird,-0.2344,0.7101449275362319,
19,species of bird,-0.2344,0.5,
22,face,-0.2656,0.5,
7,flies,-0.2812,0.5652173913043478,
11,paradise,-0.2812,0.5,
0,biological species,-0.3125,0.9392712550607287,
1,biological,-0.3906,0.9393939393939394,
1,biological,-0.4219,0.7555555555555555,
21,photo,-0.4844,0.8,
22,pond,-0.5312,0.9,
23,pictured,-0.5312,0.5,
10,bird flies,-0.578,0.7777777777777778,
4,person,-0.6094,0.65,
2,species,-0.703,0.9393939393939394,
13,birds,-1.0,0.875,
15,parrot,-1.031,0.75,
3,bird,-1.547,0.9302325581395349,
18,bird of paradise,-1.6875,0.90625,
